[23:45:19]  Initializing PMC Overwatch …
[23:45:20]  [Dashboard] http://localhost:8420
[23:45:20]  [Info] Twitch disabled (TWITCH_TOKEN not set)
[23:45:21]  [Brain] Online (groq: llama-3.3-70b-versatile)
[23:45:21]  [Brain] Warming up model …
[23:45:21]  [Brain] Model ready (warm)
[23:45:21]  [Screen] Capture active (safe mode — same as OBS)
[23:45:21]  Input mode: Auto VAD
[23:45:21]  [SFX] Sound effects active
[23:45:21]  [Avatar] 3D holographic avatar active
[23:45:21]  System ready. Click Start to begin.
[23:45:33]  [Mic] Calibrating...
[23:45:33]  [Screen] AI commentary active
[23:45:33]  🔊 Calibrating mic — stay quiet for 1 second …
[23:45:34]  🔊 Calibrated (threshold: 0.015)
[23:45:34]  [Mic] Listening active -- speak to interact.
[23:45:38]  [STT] Speech captured, transcribing...
[23:45:39]  [You] (EN) Hello, wave your hand.
[23:45:39]  [Brain] Generating response...
[23:45:39]  [PMC] Hey there, nice to see you,  what's up, are you ready to get into some Tarkov action?
[23:45:54]  [STT] Speech captured, transcribing...
[23:45:55]  [You] (RU) GMC Goodwin поговор 오 diversion
[23:45:55]  [Brain] Generating response...
[23:45:56]  [PMC] Чел, что происходит, давай поговорим о диверсии в Таркове, норм, кайф от игры только начинается, братан!
[23:45:59]  [PMC] ...interrupted
[23:45:59]  [Barge-in] Interrupted -- processing your input...
[23:46:00]  [You] Aloo, alo, alo.
[23:46:03]  [STT] Speech captured, transcribing...
[23:46:03]  [You] (EN) Wave your hand again.
[23:46:03]  [Brain] Generating response...
[23:46:04]  [PMC] What's up,  let's get this stream going, hell yeah, Tarkov is about to get crazy!
[23:46:16]  [STT] Speech captured, transcribing...
[23:46:17]  [You] (RU) Да там слишком моя нормала.
[23:46:17]  [Brain] Generating response...
[23:46:18]  [PMC] Норм, братан, иногда нужно расслабиться, но в Таркове нельзя быть слишком расслабленным, или тебя убьют, кайф от игры в том, чтобы быть на грани!
[23:46:30]  [Mic] Listening stopped.
