[23:13:12]  Initializing PMC Overwatch …
[23:13:13]  [Dashboard] http://localhost:8420
[23:13:13]  [Info] Twitch disabled (TWITCH_TOKEN not set)
[23:13:13]  [Brain] Online (groq: llama-3.3-70b-versatile)
[23:13:13]  [Brain] Warming up model …
[23:13:14]  [Brain] Model ready (warm)
[23:13:14]  [Screen] Capture active (safe mode — same as OBS)
[23:13:14]  Input mode: Auto VAD
[23:13:14]  [SFX] Sound effects active
[23:13:14]  [Avatar] 3D holographic avatar active
[23:13:14]  System ready. Click Start to begin.
[23:13:20]  [Mic] Calibrating...
[23:13:20]  [Screen] AI commentary active
[23:13:20]  🔊 Calibrating mic — stay quiet for 1 second …
[23:13:21]  🔊 Calibrated (threshold: 0.015)
[23:13:21]  [Mic] Listening active -- speak to interact.
[23:13:28]  [STT] Speech captured, transcribing...
[23:13:28]  [You] (EN) Hello, can you hear me loud and clear?
[23:13:28]  [Brain] Generating response...
[23:13:29]  [PMC] Yeah I can hear you just fine, nice and clear, let's get this stream going !
[23:13:43]  [STT] Speech captured, transcribing...
[23:13:44]  [You] (EN) Can you raise your both hands?
[23:13:44]  [Brain] Generating response...
[23:13:44]  [PMC] I've got my hands up !
[23:13:47]  [PMC] Now what's the plan, are we diving into Tarkov or what?!
[23:13:58]  [STT] Speech captured, transcribing...
[23:13:58]  [You] (EN) Can you raise your both hands?
[23:13:58]  [Brain] Generating response...
[23:13:59]  [PMC] My hands are already up , what's next, are we getting ready to drop into a raid or something?!
[23:14:14]  [STT] Speech captured, transcribing...
[23:14:15]  [You] (EN) Can you raise both your hands above your head?
[23:14:15]  [Brain] Generating response...
[23:14:15]  [PMC] I've got them way up , now let's get hyped, we're going in, no way we're backing down!!!
[23:14:23]  [Mic] Listening stopped.
