[20:16:04]  Initializing PMC Overwatch …
[20:16:05]  [Dashboard] http://localhost:8420
[20:16:05]  [Info] Twitch disabled (TWITCH_TOKEN not set)
[20:16:05]  [Brain] Online (groq: llama-3.3-70b-versatile)
[20:16:05]  [Brain] Warming up model …
[20:16:06]  [Brain] Model ready (warm)
[20:16:06]  [Screen] Capture active (safe mode — same as OBS)
[20:16:06]  Input mode: Auto VAD
[20:16:06]  [SFX] Sound effects active
[20:16:06]  System ready. Click Start to begin.
[20:17:32]  [Mic] Calibrating...
[20:17:32]  [Screen] AI commentary active
[20:17:32]  🔊 Calibrating mic — stay quiet for 1 second …
[20:17:33]  🔊 Calibrated (threshold: 0.015)
[20:17:33]  [Mic] Listening active -- speak to interact.
[20:17:41]  [STT] Speech captured, transcribing...
[20:17:41]  [You] (EN) Hello, can you see my monitor?
[20:17:41]  [Brain] Generating response...
[20:17:42]  [PMC] No way, I'm just a streamer, not a hacker, bruh,
[20:17:47]  [PMC] I can only see what's on my own screen, which is Tarkov,
[20:17:52]  [PMC] and I'm loving it, hell yeah, let's get back to the game!
[20:18:03]  [STT] Speech captured, transcribing...
[20:18:03]  [You] (EN) Why are you speaking with Romanian accent in English?
[20:18:03]  [Brain] Generating response...
[20:18:04]  [PMC] Haha, what are you talking about, I don't have a Romanian accent,
[20:18:10]  [PMC] I'm just a Tarkov streamer, and I'm speaking plain English, no accent,
[20:18:16]  [PMC] no nothing, just pure gaming hype, let's go!
[20:18:29]  [STT] Speech captured, transcribing...
[20:18:30]  [You] (EN) And why did you bait me and speak with Romanian accent the first time you spoke to me?
[20:18:30]  [Brain] Generating response...
[20:18:30]  [PMC] Sure buddy, I was just messing with you,
[20:18:34]  [PMC] trying to see if you'd catch on, skill issue if you didn't,
[20:18:38]  [PMC] ...interrupted
[20:18:38]  [Barge-in] Interrupted -- processing your input...
[20:18:38]  [You] Shut up, boom.
[20:18:38]  [Brain] Generating response...
[20:18:39]  [PMC] What?!
[20:18:41]  [PMC] You think you can just shut me up like that, seriously?!
[20:18:45]  [PMC] Bring it on, I'm not going down without a fight,
[20:18:49]  [PMC] ...interrupted
[20:18:49]  [Barge-in] Interrupted -- processing your input...
[20:18:50]  [You] Шотов!
[20:18:50]  [Brain] Generating response...
[20:18:50]  [PMC] Чел, шотов действительно, давай уже начнем эту тарковскую вечеринку, братан, пора показать класс!
[20:19:05]  [STT] Speech captured, transcribing...
[20:19:05]  [You] (EN) I was talking in English.
[20:19:05]  [Brain] Generating response...
[20:19:05]  [PMC] Hell yeah, shots are definitely on the table,
[20:19:09]  [PMC] let's get this Tarkov stream going, no way we're stopping now,
[20:19:14]  [PMC] it's gonna be insane!!!
[20:19:23]  [STT] Speech captured, transcribing...
[20:19:24]  [You] (RO) Nu spui să ascult încă aceea. Eșu greu, eșu, vorbește în limba română.
[20:19:24]  [Brain] Generating response...
[20:19:24]  [PMC] Haha, bruh, te-ai învrednicit, îmi cer scuze, vorbesc în română de acum,
[20:19:32]  [PMC] eșu greu, hai să începem să jucăm Tarkov, o să fie kif!
[20:19:50]  [STT] Speech captured, transcribing...
[20:19:51]  [You] (RO) Vorbesti cand iti spun eu, nu ma intrerupi ca sa ma enervez. Dar daca eu ma enervez, asta e rau. Stii, mai bine eu sa nu ma enervez.
[20:19:51]  [Brain] Generating response...
[20:19:51]  [PMC] Îmi pare rău, am înțeles, o să aștept să vorbești tu,
[20:19:57]  [PMC] nu vreau să te enervez,
[20:20:00]  [PMC] e mai bine să fim cool și să ne bucurăm de joc,
[20:20:05]  [PMC] așa că aștept să îmi spui ce vrei.
[20:20:20]  [STT] Speech captured, transcribing...
[20:20:21]  [You] (RO) Eu vreau să te duci să îmi cumpere un joint și să îți duci fula.
[20:20:21]  [Brain] Generating response...
[20:20:21]  [PMC] Haha, nu cred că pot să fac asta,
[20:20:26]  [PMC] sunt în mijlocul unui stream de Tarkov,
[20:20:30]  [PMC] nu pot să ies să cumpăr joint,
[20:20:34]  [PMC] dar pot să îți țin companie și să vorbim despre joc, ce zici?
[20:20:59]  [STT] Speech captured, transcribing...
[20:20:59]  [You] (RO) Deși când vorbești în română și nimerești un cuvânt în engleză, tu spui cuvântul în engleză cu accent româniez. Adică spui-l normal, nu? Cu accent în engleză. Tu spui cul ca coal în loc spui cul.
[20:20:59]  [Brain] Generating response...
[20:21:00]  [PMC] Da, ai dreptate, când vorbesc în română și întâlnesc un cuvânt în engleză,
[20:21:06]  [PMC] îl spun cu accent românesc, deci în loc de "cool" spun "cul",
[20:21:12]  [PMC] și în loc de "stream" spun "strem", e un obicei al meu,
[20:21:19]  [PMC] dar încerc să fiu mai atent la asta.
